,工单类型,工区,是否两小时,是否需要统计
0,维修,世宁大厦,0,1
1,维修,世通国际大厦,0,0
2,维修,中关村e世界财富中心-C座,1,1
3,维修,中兴大厦,0,0
4,维修,中国卫星通信大厦,0,0
5,维修,中航广场（矮楼）,0,0
6,维修,中航广场（高楼）,1,2
7,维修,互联网金融中心,0,0
8,维修,保利蓟门壹号,1,1
9,维修,北京中国卫星通信大厦,0,1
10,维修,北辰世纪中心-B座,0,0
11,维修,学清嘉创大厦B座,0,0
12,维修,方恒时尚中心,0,0
13,维修,海龙大厦,0,0
14,维修,科技财富中心,1,1
15,维修,紫金数码园-3号楼,1,1
16,维修,紫金数码园-4号楼,0,0
17,维修,紫金数码园-5号楼,0,0
18,退库,世宁大厦,2,3
19,退库,世通国际大厦,4,4
20,退库,中关村e世界财富中心-A座,9,9
21,退库,中关村e世界财富中心-C座,10,10
22,退库,中关村国际创新大厦,2,2
23,退库,中兴大厦,8,8
24,退库,中航广场（矮楼）,3,4
25,退库,中航广场（高楼）,11,12
26,退库,互联网金融中心,4,4
27,退库,保利蓟门壹号,3,3
28,退库,北京中国卫星通信大厦,9,9
29,退库,北辰世纪中心-A座,1,1
30,退库,北辰世纪中心-B座,1,1
31,退库,唯实大厦,4,4
32,退库,国防科技园,1,1
33,退库,城建大厦,3,3
34,退库,大恒科技大厦,3,3
35,退库,天作国际中心B,5,5
36,退库,天使大厦,2,4
37,退库,威盛大厦,1,1
38,退库,学清嘉创大厦C座,5,5
39,退库,庚坊国际大厦,1,1
40,退库,方恒时尚中心,11,11
41,退库,泰鹏大厦,1,1
42,退库,海龙大厦,1,1
43,退库,盈都大厦,5,5
44,退库,知春嘉园2号楼,1,1
45,退库,神州数码大厦,1,1
46,退库,科技财富中心,7,7
47,退库,紫金数码园-3号楼,4,4
48,退库,紫金数码园-4号楼,28,32
49,退库,紫金数码园-5号楼,2,2
50,退库,致真大厦,1,1
51,退库,辉煌时代大厦,1,1
52,All,,160,160
